year,paper,affiliations
2018,Embodied Question Answering,MBA IN DU
2018,Learning by Asking Questions,"Research Scientist, Facebook AI Research"
2018,Finding Tiny Faces in the Wild With Generative Adversarial Network,KASUT/ISCAS
2018,Learning Pose Specific Representations by Predicting Different Views,Graz University of Technology
2018,Weakly and Semi Supervised Human Body Part Parsing via Pose-Guided Knowledge Transfer,Shanghai Jiao Tong University
2018,Person Transfer GAN to Bridge Domain Gap for Person Re-Identification,"Researcher, Huawei Cloud"
2018,Cross-Modal Deep Variational Hand Pose Estimation,ETH Zurich
2018,Disentangled Person Image Generation,KU Leuven
2018,Super-FAN: Integrated Facial Landmark Localization and Super-Resolution of Real-World Low Resolution Faces in Arbitrary Poses With GANs,Samsung AI Cambridge
2018,Multistage Adversarial Losses for Pose-Based Human Image Synthesis,SAIL<<CASIA
2018,Hybrid Camera Pose Estimation,"Research Scientist, Facebook FRL"
2018,A Certifiably Globally Optimal Solution to the Non-Minimal Relative Pose Problem,Facebook
2018,Fight Ill-Posedness With Ill-Posedness: Single-Shot Variational Depth Super-Resolution From Shading,Technical University of Munich
2018,Deep Depth Completion of a Single RGB-D Image,Google Research
2018,PPFNet: Global Context Aware Local Features for Robust 3D Point Matching,Technical University of Munich
2018,FoldingNet: Point Cloud Auto-Encoder via Deep Grid Deformation,UC Berkeley
2018,A Papier-Mâché Approach to Learning 3D Surface Generation,LIGM - Ecole des ponts - UPE
2018,LEGO: Learning Edge With Geometry All at Once by Watching Videos,ByteDance
2018,Five-Point Fundamental Matrix Estimation for Uncalibrated Cameras,ETH Zürich
2018,PointFusion: Deep Sensor Fusion for 3D Bounding Box Estimation,Stanford University
2018,Scalable Dense Non-Rigid Structure-From-Motion: A Grassmannian Perspective,"ETH Zurich, Google Research"
2018,GVCNN: Group-View Convolutional Neural Networks for 3D Shape Recognition,Xiamen University
2018,Depth and Transient Imaging With Compressive SPAD Array Cameras,"CEO, Point Spread Technology; ECE Ph.D student at KAUST"
2018,GeoNet: Geometric Neural Network for Joint Depth and Surface Normal Estimation,"Assistant Professor, The University of Hong Kong"
2018,Real-Time Seamless Single Shot 6D Object Pose Prediction,Microsoft
2018,"Factoring Shape, Pose, and Layout From the 2D Image of a 3D Scene",Carnegie Mellon Univesity
2018,Spline Error Weighting for Robust Visual-Inertial Fusion,FOI
2018,Single-Image Depth Estimation Based on Fourier Domain Analysis,Korea University
2018,Unsupervised Learning of Monocular Depth Estimation and Visual Odometry With Deep Feature Reconstruction,"Postdoctoral Researcher, The University of Adelaide"
2018,Detect-and-Track: Efficient Pose Estimation in Videos,"Research Scientist, Facebook AI Research (FAIR)"
2018,Supervision-by-Registration: An Unsupervised Approach to Improve the Precision of Facial Landmark Detectors,University of Technology Sydney
2018,Style Aggregated Network for Facial Landmark Detection,University of Technology Sydney
2018,Learning Deep Models for Face Anti-Spoofing: Binary or Auxiliary Supervision,"Research Scientist, Google Research"
2018,First-Person Hand Action Benchmark With RGB-D Videos and 3D Hand Pose Annotations,Niantic
2018,A Pose-Sensitive Embedding for Person Re-Identification With Expanded Cross Neighborhood Re-Ranking,Karlsruhe Institute of Technology (KIT)
2018,Learning to Estimate 3D Human Pose and Shape From a Single Color Image,UC Berkeley
2018,Glimpse Clouds: Human Activity Recognition From Unstructured Feature Points,"Research Scientist, Naver Labs Europe"
2018,Context-Aware Deep Feature Compression for High-Speed Visual Tracking,"Assistant Professor, Chung-Ang University"
2018,The Best of Both Worlds: Combining CNNs and Geometric Constraints for Hierarchical Motion Segmentation,"Postdoctoral researcher, TU Berlin"
2018,Hyperparameter Optimization for Tracking With Continuous Deep Q-Learning,"Research Scientist, Inception Institute of Artificial Intelligence"
2018,A Prior-Less Method for Multi-Face Tracking in Unconstrained Videos,Microsoft
2018,Learning Superpixels With Segmentation-Aware Affinity Loss,Ganzin Technology
2018,Interactive Image Segmentation With Latent Diversity,"Nuro, Inc."
2018,Recovering Realistic Texture in Image Super-Resolution by Deep Spatial Feature Transform,"PhD student of MMLab, The Chinese University of Hong Kong"
2018,Deep Extreme Cut: From Extreme Points to Object Segmentation,Research Scientist at Google
2018,Occlusion-Aware Rolling Shutter Rectification of 3D Scenes,"Post-doctoral Researcher, EPFL"
2018,Intrinsic Image Transformation via Scale Space Decomposition,"associate researcher, Zhejiang Lab"
2018,Learned Shape-Tailored Descriptors for Segmentation,University of Oxford
2018,Joint Cuts and Matching of Partitions in One Graph,The Chinese University of Hong Kong (Shenzhen)
2018,Hallucinated-IQA: No-Reference Image Quality Assessment via Adversarial Learning,Peking University
