YEAR,paper,citations
2016,Estimating Sparse Signals with Smooth Support via Convex Programming and Block Sparsity,7
2016,Parametric Object Motion from Blur,22
2016,Unsupervised Learning of Discriminative Attributes and Visual Representations,97
2016,Symmetry reCAPTCHA,24
2016,Predicting Motivations of Actions by Leveraging Text,26
2016,Isometric Non-rigid Shape-from-Motion in Linear Time,26
2016,Coherent Parametric Contours for Interactive Video Object Segmentation,24
2016,End-to-End People Detection in Crowded Scenes,381
2016,Deep Metric Learning via Lifted Structured Feature Embedding,1139
2016,A Key Volume Mining Deep Framework for Action Recognition,250
2016,Iterative Instance Segmentation,142
2016,Simultaneous Clustering and Model Selection for Tensor Affinities,7
2016,Efficient Large-Scale Approximate Nearest Neighbor Search on the GPU,47
2016,Amplitude Modulated Video Camera - Light Separation in Dynamic Scenes,6
2016,Learning Local Image Descriptors with Deep Siamese and Triplet Convolutional Networks by Minimizing Global Loss Functions,277
2016,Pedestrian Detection Inspired by Appearance Constancy and Shape Symmetry,83
2016,Improving Person Re-identification via Pose-Aware Multi-shot Matching,97
2016,Memory Efficient Max Flow for Multi-label Submodular MRFs,6
2016,Predicting the Where and What of Actors and Actions through Online Action Localization,75
2016,A Continuous Occlusion Model for Road Scene Understanding,30
2016,NTU RGB+D: A Large Scale Dataset for 3D Human Activity Analysis,1391
2016,Action Recognition in Video Using Sparse Coding and Relative Features,31
2016,3D Reconstruction of Transparent Objects with Position-Normal Consistency,28
2016,Fashion Style in 128 Floats: Joint Ranking and Classification Using Weak Data for Feature Extraction,154
2016,CoMaL: Good Features to Match on Object Boundaries,9
2016,FANNG: Fast Approximate Nearest Neighbour Graphs,69
2016,Visual7W: Grounded Question Answering in Images,631
2016,A Holistic Approach to Cross-Channel Image Noise Modeling and Its Application to Image Denoising,134
2016,Rolling Shutter Absolute Pose Problem with Known Vertical Direction,34
2016,Functional Faces: Groupwise Dense Correspondence Using Functional Maps,16
2016,Image Question Answering Using Convolutional Neural Network with Dynamic Parameter Prediction,325
2016,Highway Vehicle Counting in Compressed Domain,25
2016,Egocentric Future Localization,80
2016,Human Pose Estimation with Iterative Error Feedback,651
2016,Deep Saliency with Encoded Low Level Distance Map and High Level Features,415
2016,Local Background Enclosure for RGB-D Salient Object Detection,141
2016,Coordinating Multiple Disparity Proposals for Stereo Computation,30
2016,Primary Object Segmentation in Videos via Alternate Convex Optimization of Foreground and Background Distributions,75
2016,Recurrent Face Aging,164
2016,Instance-Level Video Segmentation from Object Tracks,42
2016,Min Norm Point Algorithm for Higher Order MRF-MAP Inference,15
2016,Aggregating Image and Text Quantized Correlated Components,22
2016,Depth from Semi-Calibrated Stereo and Defocus,22
2016,Random Features for Sparse Signal Classification,8
2016,Person Re-identification by Multi-Channel Parts-Based CNN with Improved Triplet Loss Function,1168
2016,STCT: Sequentially Training Convolutional Networks for Visual Tracking,281
2016,Detecting Events and Key Actors in Multi-person Videos,197
2016,Minimizing the Maximal Rank,1
2016,Hierarchical Recurrent Neural Encoder for Video Representation with Application to Captioning,376
2016,Actionness Estimation Using Hybrid Fully Convolutional Networks,92
2016,Recovering Transparent Shape from Time-of-Flight Distortion,36
2016,"POD: Discovering Primary Objects in Videos Based on Evolutionary Refinement of Object Recurrence, Background, and Primary Object Models",23
2016,A New Finsler Minimal Path Model with Curvature Penalization for Image Segmentation and Closed Contour Detection,13
2016,Unconstrained Salient Object Detection via Proposal Subset Optimization,83
2016,Longitudinal Face Modeling via Temporal Deep Restricted Boltzmann Machines,42
2016,Generation and Comprehension of Unambiguous Object Descriptions,539
2016,A Comparative Study for Single Image Blind Deblurring,267
2016,Multicamera Calibration from Visible and Mirrored Epipoles,3
2016,Shape Analysis with Hyperbolic Wasserstein Distance,11
2016,Learning Deep Representations of Fine-Grained Visual Descriptions,634
2016,Homography Estimation from the Common Self-Polar Triangle of Separate Ellipses,10
2016,Unconstrained Face Alignment via Cascaded Compositional Learning,179
2016,Structured Feature Learning for Pose Estimation,243
2016,DisturbLabel: Regularizing CNN on the Loss Layer,204
2016,DHSNet: Deep Hierarchical Saliency Network for Salient Object Detection,669
2016,Semantic Channels for Fast Pedestrian Detection,76
2016,"A Large Dataset to Train Convolutional Networks for Disparity, Optical Flow, and Scene Flow Estimation",1535
2016,Discovering the Physical Parts of an Articulated Object Class from Multiple Videos,8
2016,Self-Adaptive Matrix Completion for Heart Rate Estimation from Face Videos under Realistic Conditions,235
2016,Understanding RealWorld Indoor Scenes with Synthetic Data,283
2016,Deep Supervised Hashing for Fast Image Retrieval,643
2016,Variable Aperture Light Field Photography: Overcoming the Diffraction-Limited Spatio-Angular Resolution Tradeoff,15
2016,Efficient 3D Room Shape Recovery from a Single Panorama,65
2016,Online Multi-object Tracking via Structural Constraint Event Aggregation,172
2016,Personalizing Human Video Pose Estimation,86
2016,Temporal Action Localization in Untrimmed Videos via Multi-stage CNNs,696
2016,Laplacian Patch-Based Image Synthesis,29
2016,Rotational Crossed-Slit Light Fields,6
2016,Beyond F-Formations: Determining Social Involvement in Free Standing Conversing Groups from Static Images,33
2016,D3: Deep Dual-Domain Based Fast Restoration of JPEG-Compressed Images,173
2016,An Empirical Evaluation of Current Convolutional Architectures’ Ability to Manage Nuisance Location and Scale Variability,16
2016,Deep Interactive Object Selection,228
2016,MCMC Shape Sampling for Image Segmentation with Nonparametric Shape Priors,18
2016,End-to-End Saliency Mapping via Probability Distribution Prediction,135
2016,Estimating Correspondences of Deformable Objects “In-the-Wild”,12
2016,Inextensible Non-Rigid Shape-from-Motion by Second-Order Cone Programming,31
2016,Deep Region and Multi-label Learning for Facial Action Unit Detection,241
2016,Multivariate Regression on the Grassmannian for Predicting Novel Domains,14
2016,Latent Embeddings for Zero-Shot Classification,556
2016,A Consensus-Based Framework for Distributed Bundle Adjustment,49
2016,Occlusion-Free Face Alignment: Deep Regression Networks Coupled with De-Corrupt AutoEncoders,95
2016,Deep Canonical Time Warping,38
2016,Structure Inference Machines: Recurrent Neural Networks for Analyzing Relations in Group Activity Recognition,204
2016,Dense Monocular Depth Estimation in Complex Dynamic Scenes,155
2016,Learning Temporal Regularity in Video Sequences,570
2016,Image Style Transfer Using Convolutional Neural Networks,3358
2016,Camera Calibration from Dynamic Silhouettes Using Motion Barcodes,23
2016,Incremental Object Discovery in Time-Varying Image Collections,1
2016,Panoramic Stereo Videos with a Single Camera,24
2016,HyperDepth: Learning Depth from Structured Light without Matching,95
2016,Deep Hand: How to Train a CNN on 1 Million Hand Images When Your Data is Continuous and Weakly Labelled,216
2016,Just Look at the Image: Viewpoint-Specific Surface Normal Prediction for Improved Multi-View Reconstruction,27
2016,Robust Optical Flow Estimation of Double-Layer Images under Transparency or Reflection,38
2016,Actor-Action Semantic Segmentation with Grouping Process Models,42
2016,Recurrently Target-Attending Tracking,150
2016,Moral Lineage Tracing,17
2016,Marr Revisited: 2D-3D Alignment via Surface Normal Prediction,249
2016,Gradient-Domain Image Reconstruction Framework with Intensity-Range and Base-Structure Constraints,37
2016,A Nonlinear Regression Technique for Manifold Valued Data with Applications to Medical Image Analysis,35
2016,SketchNet: Sketch Classification with Web Images,96
2016,A Weighted Variational Model for Simultaneous Reflectance and Illumination Estimation,401
2016,Mixture of Bilateral-Projection Two-Dimensional Probabilistic Principal Component Analysis,5
2016,"In the Shadows, Shape Priors Shine: Using Occlusion to Improve Multi-region Segmentation",12
2016,Efficient and Robust Color Consistency for Community Photo Collections,43
2016,Traffic-Sign Detection and Classification in the Wild,438
2016,Context-Aware Gaussian Fields for Non-rigid Point Set Registration,28
2016,Geospatial Correspondences for Multimodal Registration,31
2016,Learning Attributes Equals Multi-Source Domain Generalization,171
2016,Mirror Surface Reconstruction under an Uncalibrated Camera,2
2016,Learning Reconstruction-Based Remote Gaze Estimation,11
2016,Large Scale Hard Sample Mining with Monte Carlo Tree Search,10
2016,The Global Patch Collider,35
2016,Studying Very Low Resolution Recognition Using Deep Networks,204
2016,Inverting Visual Representations with Convolutional Networks,497
2016,ReD-SFA: Relation Discovery Based Slow Feature Analysis for Trajectory Clustering,11
2016,Hedgehog Shape Priors for Multi-Object Segmentation,26
2016,Constructing Canonical Regions for Fast and Effective View Selection,6
2016,LocNet: Improving Localization Accuracy for Object Detection,129
2016,Automatic Content-Aware Color and Tone Stylization,64
2016,Reconstructing Shapes and Appearances of Thin Film Objects Using RGB Images,7
2016,Semantic 3D Reconstruction with Continuous Regularization and Ray Potentials Using a Visibility Consistency Constraint,59
2016,Pairwise Decomposition of Image Sequences for Active Multi-view Recognition,220
2016,Accelerated Generative Models for 3D Point Cloud Data,43
2016,Adaptive Decontamination of the Training Set: A Unified Formulation for Discriminative Visual Tracking,369
2016,Recognizing Activities of Daily Living with a Wrist-Mounted Camera,50
2016,Loss Functions for Top-k Error: Analysis and Insights,56
2016,Multi-scale Patch Aggregation (MPA) for Simultaneous Detection and Segmentation,80
2016,On Benefits of Selection Diversity via Bilevel Exclusive Sparsity,7
2016,Fast Zero-Shot Image Tagging,85
2016,Fine-Grained Image Classification by Exploring Bipartite-Graph Labels,106
2016,Robust Kernel Estimation with Outliers Handling for Image Deblurring,70
2016,Improving the Robustness of Deep Neural Networks via Stability Training,446
2016,ReconNet: Non-Iterative Reconstruction of Images from Compressively Sensed Measurements,430
2016,Exploit All the Layers: Fast and Accurate CNN Object Detector with Scale Dependent Pooling and Cascaded Rejection Classifiers,499
2016,Relaxation-Based Preprocessing Techniques for Markov Random Field Inference,10
2016,Learning to Assign Orientations to Feature Points,96
2016,A Direct Least-Squares Solution to the PnP Problem with Unknown Focal Length,19
2016,Facial Expression Intensity Estimation Using Ordinal Information,85
2016,Joint Unsupervised Learning of Deep Representations and Image Clusters,564
2016,Face Alignment Across Large Poses: A 3D Solution,821
2016,Blind Image Deconvolution by Automatic Gradient Activation,65
2016,Material Classification Using Raw Time-of-Flight Measurements,40
2016,Event-Specific Image Importance,31
2016,Multi-view Deep Network for Cross-View Classification,132
2016,Deep Residual Learning for Image Recognition,98095
2016,Simultaneous Estimation of Near IR BRDF and Fine-Scale Surface Geometry,21
2016,Rolling Shutter Camera Relative Pose: Generalized Epipolar Geometry,53
2016,Deep Sliding Shapes for Amodal 3D Object Detection in RGB-D Images,609
2016,DCAN: Deep Contour-Aware Networks for Accurate Gland Segmentation,421
2016,Robust Scene Text Recognition with Automatic Rectification,415
2016,Force from Motion: Decoding Physical Sensation in a First Person Video,19
2016,Deep Stereo: Learning to Predict New Views from the World's Imagery,473
2016,Video-Story Composition via Plot Analysis,17
2016,Efficient Training of Very Deep Neural Networks for Supervised Hashing,117
2016,ScribbleSup: Scribble-Supervised Convolutional Networks for Semantic Segmentation,566
2016,PPP: Joint Pointwise and Pairwise Image Label Prediction,31
2016,SPDA-CNN: Unifying Semantic Part Detection and Abstraction for Fine-Grained Recognition,241
2016,Rethinking the Inception Architecture for Computer Vision,16524
2016,Efficient Temporal Sequence Comparison and Classification Using Gram Matrix Embeddings on a Riemannian Manifold,73
2016,BORDER: An Oriented Rectangles Approach to Texture-Less Object Recognition,18
2016,Robust Visual Place Recognition with Graph Kernels,37
2016,Two Illuminant Estimation and User Correction Preference,22
2016,Monocular 3D Object Detection for Autonomous Driving,633
2016,Automatic Image Cropping: A Computational Complexity Study,80
2016,Principled Parallel Mean-Field Inference for Discrete Random Fields,26
2016,Using Spatial Order to Boost the Elimination of Incorrect Feature Matches,6
2016,ProNet: Learning to Propose Object-Specific Boxes for Cascaded Neural Networks,62
2016,Layered Scene Decomposition via the Occlusion-CRF,24
2016,Newtonian Image Understanding: Unfolding the Dynamics of Objects in Static Images,146
2016,Subspace Clustering with Priors via Sparse Quadratically Constrained Quadratic Programming,13
2016,Part-Stacked CNN for Fine-Grained Visual Categorization,308
2016,Pairwise Linear Regression Classification for Image Set Retrieval,40
2016,DeepHand: Robust Hand Pose Estimation by Completing a Matrix Imputed with Deep Features,167
2016,Learning with Side Information through Modality Hallucination,173
2016,Conformal Surface Alignment with Optimal Möbius Search,5
2016,Large-Pose Face Alignment via CNN-Based Dense 3D Model Fitting,313
2016,Slow and Steady Feature Analysis: Higher Order Temporal Coherence in Video,121
2016,Situation Recognition: Visual Semantic Role Labeling for Image Understanding,183
2016,Optical Flow with Semantic Segmentation and Localized Layers,169
2016,ForgetMeNot: Memory-Aware Forensic Facial Sketch Matching,62
2016,3D Action Recognition from Novel Viewpoints,161
2016,Large-Scale Semantic 3D Reconstruction: An Adaptive Multi-resolution Model for Multi-class Volumetric Labeling,91
2016,Dense Human Body Correspondences Using Convolutional Networks,187
2016,Deep Exemplar 2D-3D Detection by Adapting from Real to Rendered Views,102
2016,Efficient Point Process Inference for Large-Scale Object Detection,33
2016,Semantic Filtering,38
2016,Inside-Outside Net: Detecting Objects in Context with Skip Pooling and Recurrent Neural Networks,1112
2016,Natural Language Object Retrieval,426
2016,Multiview Image Completion with Space Structure Propagation,27
2016,Deep Relative Distance Learning: Tell the Difference between Similar Vehicles,486
2016,Spatially Binned ROC: A Comprehensive Saliency Metric,10
2016,A Task-Oriented Approach for Cost-Sensitive Recognition,5
2016,When VLAD Met Hilbert,3
2016,Weakly Supervised Object Boundaries,46
2016,Seven Ways to Improve Example-Based Single Image Super Resolution,362
2016,Learning to Match Aerial Images with Deep Attentive Architectures,71
2016,Kernel Approximation via Empirical Orthogonal Decomposition for Unsupervised Feature Learning,13
2016,Solving Small-Piece Jigsaw Puzzles by Growing Consensus,37
2016,Learnt Quasi-Transitive Similarity for Retrieval from Large Collections of Faces,8
2016,HyperNet: Towards Accurate Region Proposal Generation and Joint Object Detection,711
2016,Automating Carotid Intima-Media Thickness Video Interpretation with Convolutional Neural Networks,43
2016,Online Detection and Classification of Dynamic Hand Gestures with Recurrent 3D Convolutional Neural Networks,18
2016,Simultaneous Optical Flow and Intensity Estimation from an Event Camera,171
2016,Learning to Co-Generate Object Proposals with a Deep Structured Network,16
2016,The Solution Path Algorithm for Identity-Aware Multi-object Tracking,43
2016,Some Like It Hot — Visual Guidance for Preference Prediction,77
2016,Closed-Form Training of Mahalanobis Distance for Supervised Clustering,24
2016,Discriminative Invariant Kernel Features: A Bells-and-Whistles-Free Approach to Unsupervised Face Recognition and Pose Estimation,33
2016,Three-Dimensional Object Detection and Layout Prediction Using Clouds of Oriented Gradients,120
2016,Efficient Piecewise Training of Deep Structured Models for Semantic Segmentation,904
2016,Towards Open Set Deep Networks,608
