year,paper,affiliations
2018,Spline Filters For End-to-End Deep Learning,Facebook AI Research New York
2018,Non-linear motor control by local learning in spiking neural networks,University of Sheffield
2018,Implicit Quantile Networks for Distributional Reinforcement Learning,DeepMind
2018,Predict and Constrain: Modeling Cardinality in Deep Structured Prediction,Princeton University
2018,Differentiable plasticity: training plastic neural networks with backpropagation,"Research Scientist, Uber AI Labs"
2018,Model-Level Dual Learning,Microsoft Research Asia
2018,Gradually Updated Neural Networks for Large-Scale Image Recognition,"Research Scientist, Google"
2018,One-Shot Segmentation in Clutter,"PhD student, University of Tübingen"
2018,Learning Deep ResNet Blocks Sequentially using Boosting Theory,"Assistant Professor of Computer Science, University of Maryland"
2018,Self-Consistent Trajectory Autoencoder: Hierarchical Reinforcement Learning with Trajectory Embeddings,UC Berkeley
2018,Problem Dependent Reinforcement Learning Bounds Which Can Identify Bandit Structure in MDPs,"Postdoctoral Scholar, UC Berkeley"
2018,Signal and  Noise Statistics Oblivious Orthogonal Matching Pursuit,Indian Institute of Technology Madras
2018,Do Outliers Ruin Collaboration?,Stanford University
2018,"Dropout Training, Data-dependent Regularization, and Generalization Bounds",UC Berkeley
2018,Continual Reinforcement Learning with Complex Synapses,DeepMind
2018,Quickshift++: Provably Good Initializations for Sample-Based Mean Shift,"Research Scientist, Google Research"
2018,Learning Diffusion using Hyperparameters,"PhD student, Harvard University"
2018,Crowdsourcing with Arbitrary Adversaries,Amazon AWS Tübingen
2018,Structured Evolution with Compact Architectures for Scalable Policy Optimization,Google Brain Robotics New York & Columbia University
2018,"The Limits of Maxing, Ranking, and Preference Learning","University of California, San Diego"
2018,Black Box FDR,Memorial Sloan Kettering Cancer Center
2018,Structured Control Nets for Deep Reinforcement Learning,Stanford Computer Science Department
2018,Stagewise Safe Bayesian Optimization with Gaussian Processes,Tsinghua University
2018,GraphRNN: Generating Realistic Graphs with Deep Auto-regressive Models,"CS PhD candidate, Stanford University"
2018,Dependent Relational Gamma Process Models for Longitudinal Networks,Deutsche Zentrum für Neurodegenerative Erkrankungen e. V. (DZNE)
2018,Semi-Supervised Learning via Compact Latent Space Clustering,"Lecturer (Assist. Prof.) @ Univ of Birmingham, PhD @ Imperial College London"
2018,TACO: Learning Task Decomposition via Temporal Alignment for Control,Waymo
2018,A Spectral Approach to Gradient Estimation for Implicit Distributions,"Postdoctoral Researcher, Microsoft Research"
2018,Quasi-Monte Carlo Variational Inference,Amazon Music ML
2018,Learning to Optimize Combinatorial Functions,Technion
2018,Representation Learning on Graphs with Jumping Knowledge Networks,MIT
2018,NetGAN: Generating Graphs via Random Walks,CISPA Helmholtz Center for Information Security
2018,Locally Private Hypothesis Testing,Bar-Ilan Universtiy
2018,Latent Space Policies for Hierarchical Reinforcement Learning,DeepMind
2018,More Robust Doubly Robust Off-policy Evaluation,Google DeepMind
2018,End-to-end Active Object Tracking via Reinforcement Learning,Imperial College London/Tencent/Amazon(A9)
2018,Efficient and Consistent Adversarial Bipartite Matching,Carnegie Mellon University
2018,SparseMAP: Differentiable Sparse Structured Inference,University of Amsterdam
2018,Bilevel Programming for Hyperparameter Optimization and Meta-Learning,University College London - Istituto Italiano di Tecnologia
2018,Nearly Optimal Robust Subspace Tracking,University of Southern California
2018,signSGD: Compressed Optimisation for Non-Convex Problems,"Computation and Neural Systems, Caltech"
2018,Synthesizing Robust Adversarial Examples,"PhD Student, Massachusetts Institute of Technology"
2018,Differentiable Abstract Interpretation for Provably Robust Neural Networks,ETH Zürich
2018,Neural Relational Inference for Interacting Systems,"Research Scientist, Google Brain"
2018,Which Training Methods for GANs do actually Converge?,"Max Planck Institute for Intelligent System, Tübingen"
2018,Learning Independent Causal Mechanisms,OpenAI
2018,Nonconvex Optimization for Regression with Fairness Constraints,The University of tokyo
2018,Fairness Without Demographics in Repeated Loss Minimization,"Assistant Professor, Stanford"
2018,Towards More Efficient Stochastic Decentralized Learning: Faster Convergence and Sparse Communication,University of Pennsylvania
