YEAR,TITLE,citations
2016,"No Oops, You Won’t Do It Again: Mechanisms for Self-correction in Crowdsourcing",34
2016,Stochastically Transitive Models for Pairwise Comparisons: Statistical and Computational Issues,135
2016,Uprooting and Rerooting Graphical Models,8
2016,A Deep Learning Approach to Unsupervised Ensemble Learning,27
2016,Revisiting Semi-Supervised Learning with Graph Embeddings,1042
2016,Guided Cost Learning: Deep Inverse Optimal Control via Policy Optimization,675
2016,Diversity-Promoting Bayesian Learning of Latent Variable Models,33
2016,Additive Approximations in High Dimensional Nonparametric Regression via the SALSA,40
2016,Hawkes Processes with Stochastic Excitations,32
2016,Data-driven Rank Breaking for Efficient Rank Aggregation,53
2016,Dropout distillation,39
2016,Metadata-conscious anonymous messaging,10
2016,The Teaching Dimension of Linear Learners,48
2016,Truthful Univariate Estimators,27
2016,Why Regularized Auto-Encoders learn Sparse Representation?,65
2016,k-variates++: more pluses in the k-means++,3
2016,Multi-Player Bandits – a Musical Chairs Approach,124
2016,The Information Sieve,22
2016,Deep Speech 2 : End-to-End Speech Recognition in English and Mandarin,2392
2016,On the Consistency of Feature Selection With Lasso for Non-linear Targets,11
2016,Minimum Regret Search for Single- and Multi-Task Optimization,19
2016,CryptoNets: Applying Neural Networks to Encrypted Data with High Throughput and Accuracy,1059
2016,The Variational Nystrom method for large-scale spectral problems,22
2016,Multi-Bias Non-linear Activation in Deep Neural Networks,59
2016,Asymmetric Multi-task Learning Based on Task Relatedness and Loss,79
2016,Accurate Robust and Efficient Error Estimation for Decision Trees,5
2016,Fast Stochastic Algorithms for SVD and PCA: Convergence Properties and Convexity,93
2016,Convergence of Stochastic Gradient Descent for PCA,76
2016,Dealbreaker: A Nonlinear Latent Variable Model for Educational Data,10
2016,A Kernelized Stein Discrepancy for Goodness-of-fit Tests,281
2016,Variable Elimination in the Fourier Domain,11
2016,Low-Rank Matrix Approximation with Stability,39
2016,Linking losses for density ratio and class-probability estimation,36
2016,Stochastic Variance Reduction for Nonconvex Optimization,486
2016,Hierarchical Variational Models,263
2016,Hierarchical Span-Based Conditional Random Fields for Labeling and Segmenting Events in Wearable Sensor Data Streams,17
2016,Binary embeddings with structured hashed projections,37
2016,A Variational Analysis of Stochastic Gradient Algorithms,123
2016,Adaptive Sampling for SGD by Exploiting Side Information,54
2016,Learning from Multiway Data: Simple and Efficient Tensor Regression,63
2016,A Distributed Variational Inference Framework for Unifying Parallel Sparse Gaussian Process Regression Models,44
2016,Online Stochastic Linear Optimization under One-bit Feedback,42
2016,Adaptive Algorithms for Online Convex Optimization with Long-term Constraints,91
2016,Actively Learning Hemimetrics with Applications to Eliciting User Preferences,12
2016,Learning Simple Algorithms from Examples,101
2016,Learning Physical Intuition of Block Towers by Example,265
2016,Structure Learning of Partitioned Markov Networks,2
2016,Tracking Slowly Moving Clairvoyant: Optimal Dynamic Regret of Online Learning with True and Noisy Gradient,74
2016,Beyond CCA: Moment Matching for Multi-View Models,16
2016,Fast methods for estimating the Numerical rank of large matrices,39
2016,Unsupervised Deep Embedding for Clustering Analysis,1502
2016,Efficient Private Empirical Risk Minimization for High-dimensional Learning,45
2016,Parameter Estimation for Generalized Thurstone Choice Models,17
2016,Large-Margin Softmax Loss for Convolutional Neural Networks,1006
2016,A Random Matrix Approach to Echo-State Neural Networks,4
2016,Supervised and Semi-Supervised Text Categorization using LSTM for Region Embeddings,244
2016,Optimality of Belief Propagation for Crowdsourced Classification,42
2016,Stability of Controllers for Gaussian Process Forward Models,38
2016,Learning privately from multiparty data,141
2016,Network Morphism,128
2016,A Kronecker-factored approximate Fisher matrix for convolution layers,157
2016,Experimental Design on a Budget for Sparse Linear Models and Applications,11
2016,Minding the Gaps for Block Frank-Wolfe Optimization of Structured SVMs,72
2016,Exact Exponent in Optimal Rates for Crowdsourcing,41
2016,Augmenting Supervised Neural Networks with Unsupervised Objectives for Large-scale Image Classification,135
2016,Online Low-Rank Subspace Clustering by Basis Dictionary Pursuit,54
2016,A Self-Correcting Variable-Metric Algorithm for Stochastic Optimization,34
2016,Stochastic Quasi-Newton Langevin Monte Carlo,60
2016,Doubly Robust Off-policy Value Evaluation for Reinforcement Learning,363
2016,Fast Rate Analysis of Some Stochastic Optimization Algorithms,7
2016,Fast k-Nearest Neighbour Search via Dynamic Continuous Indexing,36
2016,Smooth Imitation Learning for Online Sequence Prediction,29
2016,Community Recovery in Graphs with Locality,36
2016,Variance Reduction for Faster Non-Convex Optimization,357
2016,"Loss factorization, weakly supervised learning and label noise robustness",83
2016,Analysis of Deep Neural Networks with Extended Data Jacobian Matrix,30
2016,Doubly Decomposing Nonparametric Tensor Regression,21
2016,Hyperparameter optimization with approximate gradient,193
2016,"SDCA without Duality, Regularization, and Individual Convexity",141
2016,Heteroscedastic Sequences: Beyond Gaussianity,4
2016,A Neural Autoregressive Approach to Collaborative Filtering,201
2016,On the Quality of the Initial Basin in Overspecified Neural Networks,125
2016,Primal-Dual Rates and Certificates,59
2016,Minimizing the Maximal Loss: How and Why,55
2016,The Information-Theoretic Requirements of Subspace Clustering with Missing Data,38
2016,Online Learning with Feedback Graphs Without the Graphs,35
2016,PAC learning of Probabilistic Automaton based on the Method of Moments,9
2016,Estimating Structured Vector Autoregressive Models,53
2016,Mixing Rates for the Alternating Gibbs Sampler over Restricted Boltzmann Machines and Friends,2
2016,Polynomial Networks and Factorization Machines: New Insights and Efficient Training Algorithms,85
2016,A New PAC-Bayesian Perspective on Domain Adaptation,48
2016,Correlation Clustering and Biclustering with Locally Bounded Errors,26
2016,PAC Lower Bounds and Efficient Algorithms for The Max K-Armed Bandit Problem,7
2016,A Comparative Analysis and Study of Multiview CNN Models for Joint Object Categorization and Pose Estimation,37
2016,BASC: Applying Bayesian Optimization to the Search for Global Minima on Potential Energy Surfaces,23
2016,On the Iteration Complexity of Oblivious First-Order Optimization Algorithms,26
2016,Stochastic Variance Reduced Optimization for Nonconvex Sparse Learning,65
2016,Analysis of Variational Bayesian Factorizations for Sparse and Low-Rank Estimation,0
2016,Fast k-means with accurate bounds,45
2016,Boolean Matrix Factorization and Noisy Completion via Message Passing,31
2016,Convolutional Rectifier Networks as Generalized Tensor Decompositions,137
2016,Low-rank Solutions of Linear Matrix Equations via Procrustes Flow,325
2016,Anytime Exploration for Multi-armed Bandits using Confidence Information,11
2016,Structured Prediction Energy Networks,177
2016,L1-regularized Neural Networks are Improperly Learnable in Polynomial Time,96
2016,Compressive Spectral Clustering,107
2016,Low-rank tensor completion: a Riemannian manifold preconditioning approach,87
2016,Provable Non-convex Phase Retrieval with Outliers: Median TruncatedWirtinger Flow,95
2016,Estimating Maximum Expected Value through Gaussian Approximation,33
