aazyear,paper,affiliations
2018,Synthesized Policies for Transfer and Adaptation across Tasks and Environments,Google
2018,On GANs and GMMs,"PhD Student, The Hebrew University of Jerusalem"
2018,Batch-Instance Normalization for Adaptively Style-Invariant Neural Networks,Lunit Inc.
2018,Hierarchical Reinforcement Learning for Zero-shot Generalization with Subtask Dependencies,LG AI Research
2018,Adaptive Sampling Towards Fast Graph Representation Learning,Tsinghua University
2018,Identification and Estimation of Causal Effects from Dependent Data,Johns Hopkins University
2018,Learning SMaLL Predictors,Massachusetts Institute of Technology (MIT)
2018,Objective and efficient inference for couplings in neuronal networks,RIKEN Center for Brain Science
2018,Unsupervised Adversarial Invariance,"Applied Scientist, Amazon Alexa Natural Understanding"
2018,Critical initialisation for deep signal propagation in noisy rectifier neural networks,"Research Scientist, InstaDeep Ltd"
2018,Learning sparse neural networks via sensitivity-driven regularization,"Maître de conférences, Télécom Paris - Institut Polytechnique de Paris"
2018,Cooperative neural networks (CoNN): Exploiting prior independence structure for improved classification,PhD student @ Georgia Institute of Technology
2018,Data center cooling using model-predictive control,DeepMind
2018,COLA: Decentralized Linear Learning,"PhD in CS, EPFL"
2018,Leveraging the Exact Likelihood of Deep Latent Variable Models,"Research scientist, Inria"
2018,Probabilistic Neural Programmed Networks for Scene Generation,Princeton University
2018,Differentially Private Bayesian Inference for Exponential Families,University of Massachusetts Amherst
2018,Answerer in Questioner's Mind: Information Theoretic Approach to Goal-Oriented Visual Dialog,NAVER CLOVA and NAVER AI Lab
2018,Learning Plannable Representations with Causal InfoGAN,"Research Scientist, Cruise llc"
2018,Interactive Structure Learning with Structural Query-by-Committee,Columbia University
2018,The streaming rollout of deep networks - towards fully model-parallel execution,Bosch Center for Artificial Intelligence
2018,Contextual Stochastic Block Models,"Member of Research Staff, Voleon (Typical Set, LLC)"
2018,Unsupervised Learning of Artistic Styles with Archetypal Style Analysis,"Machine Learning Scientist, Ava France"
2018,Generalisation in humans and deep neural networks,University of Tübingen · International Max Planck Research School for Intelligent Systems …
2018,IntroVAE: Introspective Variational Autoencoders for Photographic Image Synthesis,"Associate Professor, NLPR, CASIA"
2018,A Dual Framework for Low-rank Tensor Completion,Facebook AI
2018,Deep Non-Blind Deconvolution via Generalized Low-Rank Approximation,"Institute of Information Engineering, Chinese Academy of Sciences"
2018,A Bayesian Nonparametric View on Count-Min Sketch,Princeton University
2018,Middle-Out Decoding,Carnegie Mellon University
2018,Total stochastic gradient algorithms and applications in reinforcement learning,Kyoto University
2018,Adaptive Skip Intervals: Temporal Abstraction for Recurrent Dynamical Models,Max Planck Institute for Intelligent System
2018,Random Feature Stein Discrepancies,"Assistant Professor of Statistics, Boston University"
2018,Hessian-based Analysis of Large Batch Training and Robustness to Adversaries,"Microsoft, University of California, Berkeley"
2018,Statistical Optimality of Stochastic Gradient Descent on Hard Learning Problems through Multiple Passes,"Ecole Polytechnique de Lausanne, EPFL"
2018,Bayesian Structure Learning by Recursive Bootstrap,"Research Scientist, Intel Labs"
2018,Efficient Convex Completion of Coupled Tensors using Coupled Nuclear Norms,"Project Specific Researcher, Kyoto Unversity"
2018,Semi-Supervised Learning with Declaratively Specified Entropy Constraints,Carnegie Mellon University
2018,The Limit Points of (Optimistic) Gradient Descent in Min-Max Optimization,"Professor of Computer Science, MIT"
2018,Greedy Hash: Towards Fast Optimization for Accurate Hash Coding in CNN,Peking University
2018,Which Neural Net Architectures Give Rise to Exploding and Vanishing Gradients?,"Assistant Professor, Princeton ORFE"
2018,CatBoost: unbiased boosting with categorical features,Yandex
2018,Constrained Generation of Semantically Valid Graphs via Regularizing Variational Autoencoders,IBM TJ Watson Research Center
2018,"Deep, complex, invertible  networks for inversion of transmission effects in multimode optical fibres",Inscribe
2018,Scalable Hyperparameter Transfer Learning,"Applied Science Manager, Amazon"
2018,Wasserstein Distributionally Robust Kalman Filtering,"Postdoctoral Scholar, ETH Zurich"
2018,Generalized Zero-Shot Learning with Deep Calibration Network,University of Southern California
2018,"Modelling sparsity, heterogeneity, reciprocity and community structure in temporal interaction data",Imperial College london
2018,Heterogeneous Multi-output Gaussian Process Prediction,"DTU Compute, Technical University of Denmark"
