YEAR,TITLE,citations
2017,Implicit Regularization in Matrix Factorization,230
2017,Near-linear time approximation algorithms for optimal transport via Sinkhorn iteration,320
2017,On Frank-Wolfe and Equilibrium Computation,31
2017,Greedy Algorithms for Cone Constrained Optimization with Convergence Guarantees,25
2017,When Cyclic Coordinate Descent Outperforms Randomized Coordinate Descent,23
2017,Linear Convergence of a Frank-Wolfe Type Algorithm over Trace-Norm Balls,43
2017,"Adaptive Accelerated Gradient Converging Method under H\""{o}lderian Error Bound Condition",22
2017,Adaptive SVRG Methods under Error Bound Conditions with Unknown Growth Parameter,11
2017,Geometric Descent Method for Convex Composite Minimization,11
2017,Faster and Non-ergodic O(1/K) Stochastic Alternating Direction Method of Multipliers,7
2017,Doubly Accelerated Stochastic Variance Reduced Dual Averaging Method for Regularized Empirical Risk Minimization,30
2017,Limitations on Variance-Reduction and Acceleration Schemes for Finite Sums Optimization,17
2017,Nonlinear Acceleration of Stochastic Algorithms,28
2017,Acceleration and Averaging in Stochastic Descent Dynamics,16
2017,Multiscale Semi-Markov Dynamics for Intracortical Brain-Computer Interfaces,6
2017,"EEG-GRAPH: A Factor-Graph-Based Model for Capturing Spatial, Temporal, and Observational Relationships in Electroencephalograms",14
2017,Asynchronous Parallel Coordinate Minimization for MAP Inference,7
2017,Speeding Up Latent Variable Gaussian Graphical Model Estimation via Nonconvex Optimization,18
2017,The Expxorcist: Nonparametric Graphical Models Via Conditional Exponential Densities,13
2017,Reducing Reparameterization Gradient Variance,58
2017,Robust Conditional Probabilities,52
2017,Stein Variational Gradient Descent as Gradient Flow,130
2017,Parallel Streaming Wasserstein Barycenters,76
2017,AIDE: An algorithm for measuring the accuracy of probabilistic inference algorithms,12
2017,Deep Dynamic Poisson Factorization Model,13
2017,On the Model Shrinkage Effect of Gamma Process Edge Partition Models,6
2017,Model evidence from nonequilibrium simulations,6
2017,A-NICE-MC: Adversarial Training for MCMC,78
2017,Identification of Gaussian Process State Space Models,65
2017,Streaming Sparse Gaussian Process Approximations,60
2017,Bayesian Optimization with Gradients,152
2017,Variational Inference for Gaussian Process Models with Linear Complexity,59
2017,Efficient Modeling of Latent Information in Supervised Learning using Gaussian Processes,35
2017,Non-Stationary Spectral Kernels,73
2017,Scalable Log Determinants for Gaussian Process Kernel Learning,76
2017,Spectral Mixture Kernels for Multi-Output Gaussian Processes,50
2017,Linearly constrained Gaussian processes,67
2017,Hindsight Experience Replay,1258
2017,Log-normality and Skewness of Estimated State/Action Values in Reinforcement Learning,2
2017,Finite sample analysis of the GTD Policy Evaluation Algorithms in Markov Setting,29
2017,Inverse Filtering for Hidden Markov Models,17
2017,Safe Model-based Reinforcement Learning with Stability Guarantees,493
2017,Data-Efficient Reinforcement Learning in Continuous State-Action Gaussian-POMDPs,22
2017,Linear regression without correspondence,55
2017,On the Complexity of Learning Neural Networks,45
2017,Near Optimal Sketching of Low-Rank Tensor Regression,26
2017,Is Input Sparsity Time Possible for Kernel Low-Rank Approximation?,12
2017,Higher-Order Total Variation Classes on Grids: Minimax Theory and Trend Filtering Methods,23
2017,Alternating Estimation for Structured High-Dimensional Multi-Response Models,10
2017,Adaptive Clustering through Semidefinite Programming,26
2017,Eigenvalue Decay Implies Polynomial-Time Learnability for Neural Networks,26
2017,Learning with Average Top-k Loss,52
2017,Hierarchical Clustering Beyond the Worst-Case,38
2017,Net-Trim: Convex Pruning of Deep Neural Networks with Performance Guarantee,119
2017,A graph-theoretic approach to multitasking,12
2017,Information-theoretic analysis of generalization capability of learning algorithms,188
2017,Independence clustering (without a matrix),4
2017,Polynomial Codes: an Optimal Design for High-Dimensional Coded Matrix Multiplication,314
2017,Estimating Mutual Information for Discrete-Continuous Mixtures,120
2017,Best Response Regression,16
2017,Statistical Cost Sharing,16
2017,A Sample Complexity Measure with Applications to Learning Optimal Auctions,41
2017,"Multiplicative Weights Update with Constant Step-Size in Congestion Games:  Convergence, Limit Cycles and Chaos",81
2017,Welfare Guarantees from Data,2
2017,Safe and Nested Subgame Solving for Imperfect-Information Games,156
2017,Multi-output Polynomial Networks and Factorization Machines,7
2017,Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples,179
2017,Deep Reinforcement Learning from Human Preferences,506
2017,Multi-Modal Imitation Learning from Unstructured Demonstrations using Generative Adversarial Nets,117
2017,EX2: Exploration with Exemplar Models for Deep Reinforcement Learning,103
2017,#Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning,415
2017,Thinking Fast and Slow with Deep Learning and Tree Search,214
2017,Natural Value Approximators: Learning when to Trust Past Estimates,10
2017,Active Exploration for Learning Symbolic Representations,15
2017,State Aware Imitation Learning,20
2017,Successor Features for Transfer in Reinforcement Learning,314
2017,Bridging the Gap Between Value and Policy Based Reinforcement Learning,268
2017,Using Options and Covariance Testing for Long Horizon Off-Policy Policy Evaluation,37
2017,Compatible Reward Inverse Reinforcement Learning,25
2017,Adaptive Batch Size for Safe Policy Gradients,29
2017,Regret Minimization in MDPs with Options without Prior Knowledge,13
2017,Is the Bellman residual a bad proxy?,20
2017,Learning Unknown Markov Decision Processes: A Thompson Sampling Approach,76
2017,Online Reinforcement Learning in Stochastic Games,53
2017,Reinforcement Learning under Model Mismatch,23
2017,Zap Q-Learning,64
2017,Ensemble Sampling,67
2017,Action Centered Contextual Bandits,35
2017,Conservative Contextual Linear Bandits,58
2017,Rotting Bandits,56
2017,Identifying Outlier Arms in Multi-Armed Bandit,15
2017,Multi-Task Learning for Contextual Bandits,52
2017,Boltzmann Exploration Done Right,94
2017,Improving the Expected Improvement Algorithm,60
2017,A KL-LUCB algorithm for Large-Scale Crowdsourcing,13
2017,Scalable Generalized Linear Bandits: Online Computation and Hashing,65
2017,Bandits Dueling on Partially Ordered Sets,2
2017,Position-based Multiple-play Bandit Problem with Unknown Position Bias,14
2017,Online Influence Maximization under Independent Cascade Model with Semi-Bandit Feedback,71
2017,A Scale Free Algorithm for Stochastic Bandits with Bounded Kurtosis,18
2017,Adaptive Active Hypothesis Testing under Limited Information,5
2017,Near-Optimal Edge Evaluation in Explicit Generalized Binomial Graphs,14
2017,Robust and Efficient Transfer Learning with Hidden Parameter Markov Decision Processes,75
2017,Overcoming Catastrophic Forgetting by Incremental Moment Matching,353
2017,Hypothesis Transfer Learning via Transformation Functions,34
2017,Learning multiple visual domains with residual adapters,327
2017,Self-supervised Learning of Motion Capture,219
2017,"Information Theoretic Properties of Markov Random Fields, and their Algorithmic Applications",51
2017,Maximizing Subset Accuracy with Recurrent Neural Networks in Multi-label Classification,112
2017,Local Aggregative Games,11
2017,An Empirical Bayes Approach to Optimizing Machine Learning Algorithms,2
2017,Learning Chordal Markov Networks via Branch and Bound,10
2017,Optimal Sample Complexity of M-wise Data for Top-K Ranking,25
2017,Translation Synchronization via Truncated Least Squares,20
2017,From Bayesian Sparsity to Gated Recurrent Nets,30
2017,Online Learning for Multivariate Hawkes Processes,42
2017,Efficient Second-Order Online Kernel Learning with Adaptive Embedding,23
2017,"Online to Offline Conversions, Universality and Adaptive Minibatch Sizes",34
2017,Nonparametric Online Regression while Learning the Metric,6
2017,Stochastic and Adversarial Online Learning without Hyperparameters,9
2017,Affine-Invariant Online Optimization and the Low-rank Experts Problem,9
2017,Online Convex Optimization with Stochastic Constraints,113
2017,Online Learning with a Hint,18
2017,Efficient Online Linear Optimization with Approximation Algorithms,15
2017,Random Permutation Online Isotonic Regression,5
2017,Near Minimax Optimal Players for the Finite-Time 3-Expert Prediction Problem,8
2017,Online Learning of Optimal Bidding Strategy in Repeated Multi-Commodity Auctions,8
2017,Online Prediction with Selfish Experts,13
2017,Real-Time Bidding with Side Information,9
2017,Improving Regret Bounds for Combinatorial Semi-Bandits with Probabilistically Triggered Arms and Its Applications,50
2017,A General Framework for Robust Interactive Learning,16
2017,Practical Locally Private Heavy Hitters,157
2017,Deanonymization in the Bitcoin P2P Network,45
2017,Accuracy First: Selecting a Differential Privacy Level for Accuracy Constrained ERM,58
2017,Renyi Differential Privacy Mechanisms for Posterior Sampling,47
2017,Collecting Telemetry Data Privately,336
2017,Generating steganographic images via adversarial training,153
2017,Fitting Low-Rank Tensors in Constant Time,3
2017,Thy Friend is My Friend: Iterative Collaborative Filtering for Sparse Matrix Estimation,25
2017,Fair Clustering Through Fairlets,226
2017,On Fairness and Calibration,413
2017,Avoiding Discrimination through Causal Reasoning,395
2017,Optimized Pre-Processing for Discrimination Prevention,395
2017,Recycling Privileged Learning and Distribution Matching for Fairness,49
2017,From Parity to Preference-based Notions of Fairness in Classification,154
2017,Beyond Parity: Fairness Objectives for Collaborative Filtering,183
2017,Multi-view Matrix Factorization for Linear Dynamical System Estimation,4
2017,Random Projection Filter Bank for Time Series Data,4
2017,A Dirichlet Mixture Model of Hawkes Processes for Event Sequence Clustering,52
2017,Predicting User Activity Level In Point Processes With Mass Transport Equation,13
2017,Off-policy evaluation for slate recommendation,114
2017,Expectation Propagation with Stochastic Kinetic Model in Complex Interaction Systems,9
2017,A multi-agent reinforcement learning model of common-pool resource appropriation,121
2017,Balancing information exposure in social networks,49
2017,Scalable Demand-Aware Recommendation,15
2017,A Greedy Approach for Budgeted Maximum Inner Product Search,32
2017,DPSCREEN: Dynamic Personalized Screening,15
2017,Deep Multi-task Gaussian Processes for Survival Analysis with Competing Risks,69
2017,Premise Selection for Theorem Proving by Deep Graph Embedding,102
2017,Gradients of Generative Models for Improved Discriminative Analysis of Tandem Mass Spectra,8
2017,Style Transfer from Non-Parallel Text by Cross-Alignment,525
2017,Emergence of Language with Multi-agent Games: Learning to Communicate with Sequences of Symbols,176
2017,"ELF: An Extensive, Lightweight and Flexible Research Platform for Real-time Strategy Games",119
2017,"ExtremeWeather: A large-scale climate dataset for semi-supervised detection, localization, and understanding of extreme weather events",134
2017,Approximation and Convergence Properties of Generative Adversarial Learning,112
2017,Gradient descent GAN optimization is locally stable,269
2017,f-GANs in an Information Geometric Nutshell,11
2017,The Numerics of GANs,348
2017,Generalizing GANs: A Turing Perspective,16
2017,Dualing GANs,33
2017,Fisher GAN,138
2017,Learning to Pivot with Adversarial Networks,167
2017,Improved Training of Wasserstein GANs,5834
2017,MMD GAN: Towards Deeper Understanding of Moment Matching Network,477
2017,GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium,3971
2017,VEEGAN: Reducing Mode Collapse in GANs using Implicit Variational Learning,389
2017,Semi-supervised Learning with GANs: Manifold Invariance with Improved Inference,128
2017,Good Semi-supervised Learning That Requires a Bad GAN,359
2017,Bayesian GAN,5
2017,Dual Discriminator Generative Adversarial Nets,224
2017,ALICE: Towards Understanding Adversarial Learning for Joint Distribution Matching,199
2017,Triple Generative Adversarial Nets,361
2017,Triangle Generative Adversarial Networks,121
2017,Structured Generative Adversarial Networks,52
2017,PixelGAN Autoencoders,84
2017,Learning to Compose Domain-Specific Transformations for Data Augmentation,227
2017,Unsupervised Image-to-Image Translation Networks,1882
2017,Controllable Invariance through Adversarial Feature Learning,154
2017,Adversarial Ranking for Language Generation,266
2017,Linear Time Computation of Moments in Sum-Product Networks,4
2017,Attention is All you Need,31339
2017,Masked Autoregressive Flow for Density Estimation,596
2017,Variational Walkback: Learning a Transition Operator as a Stochastic Recurrent Net,25
2017,TernGrad: Ternary Gradients to Reduce Communication in Distributed Deep Learning,624
2017,End-to-End Differentiable Proving,260
2017,A simple neural network module for relational reasoning,1201
2017,Dual Path Networks,618
2017,Spherical convolutions and their application in molecular modelling,58
2017,Deep Sets,1189
2017,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,2058
2017,Self-Normalizing Neural Networks,1733
2017,Batch Renormalization: Towards Reducing Minibatch Dependence in Batch-Normalized Models,346
2017,"Train longer, generalize better: closing the generalization gap in large batch training of neural networks",505
2017,Nonlinear random matrix theory for deep learning,107
2017,Distral: Robust multitask reinforcement learning,337
2017,Imagination-Augmented Agents for Deep Reinforcement Learning,269
2017,Scalable trust-region method for deep reinforcement learning using Kronecker-factored approximation,491
2017,Learning Combinatorial Optimization Algorithms over Graphs,696
2017,Targeting EEG/LFP Synchrony with Neural Nets,43
2017,Toward Goal-Driven Neural Network Models for the Rodent Whisker-Trigeminal System,23
2017,Fast amortized inference of neural activity from calcium imaging data with variational autoencoders,40
2017,Learning to See Physics via Visual De-animation,146
2017,Shape and Material from Sound,14
2017,Neural Networks for Efficient Bayesian Decoding of Natural Images from Retinal Neurons,46
2017,Quantifying how much sensory information in a neural code is relevant for behavior,22
2017,Model-based Bayesian inference of neural activity and connectivity from all-optical interrogation of a neural circuit,20
2017,Deep Hyperalignment,14
2017,Unified representation of tractography and diffusion-weighted MRI data using sparse multidimensional arrays,11
2017,Online Dynamic Programming,10
2017,Unsupervised Learning of Disentangled Representations from Video,432
2017,Interactive Submodular Bandit,17
2017,Streaming Robust Submodular Maximization: A Partitioned Thresholding Approach,35
2017,Minimizing a Submodular Function from Samples,11
2017,Process-constrained batch Bayesian optimisation,5
2017,The Marginal Value of Adaptive Gradient Methods in Machine Learning,788
2017,Breaking the Nonsmooth Barrier: A Scalable Parallel Method for Composite Optimization,37
2017,Beyond Worst-case: A Probabilistic Analysis of Affine Policies in Dynamic Optimization,7
2017,Approximate Supermodularity Bounds for Experimental Design,27
2017,On Blackbox Backpropagation and Jacobian Sensing,3
2017,Asynchronous Coordinate Descent under More Realistic Assumptions,57
2017,Clustering with Noisy Queries,67
